recnum,trans_date,docket_no,regist_no,date_occurrence,locat_near,location,acft_make,acft_model,second_acft_regno,time_occur,acc_inc_class,locat_state_terr,acft_make_code,acft_model_code,engin_make,engin_model,type_craft,landing_gear,wgt_cat,no_engines,type_power,acft_adamg,fire_aftr_impt,fuel_type,type_operator,kind_fly_gena,name_comm_carr,operation_type,accident_type1,operation_phase1,accident_type2,operation_phase2,alt_of_occ,recv_alt,aircraft_speed,operator,forced_landing,emergency,recov_loss,oxy_systm,paraachute,light_cond,type_weathr,wethr_brief,wethr_forcast,flight_plan,instrm_approh,air_equt_inst_flt,airpt_proix,airpt_acc_dirt,lat_dist,airport_class,airport_name,elev_airpt,runwy_comp,runwy_cond,runwy_lite,runwy_hazz,runwy_barr,tower_unicom,runway_ln,depart_pt,lastpln_depart,inten_destin,gndele_accsite,terrain_typ,miss_aircft,airspace_seg,pilot_involed1,pilot_involed2,hours_total_pilot1,hours_total_pilot2,hours_in_type_pilot1,hours_in_type_pilot2,age_pilot1,age_pilot2,medical_cert_pilot1,medical_cert_pilot2,rating_1,rating_2,rated_aircraft_1,rated_aircraft_2,certificate_pilot1,certificate_pilot2,occupation_1,occupation_2,at_controls,cause_factor_1p,cause_factor_1m,cause_factor_1s,cause_factor_2p,cause_factor_2m,cause_factor_2s,cause_factor_3p,cause_factor_3m,cause_factor_3s,cause_factor_4p,cause_factor_4m,cause_factor_4s,cause_factor_5p,cause_factor_5m,cause_factor_5s,cause_factor_6p,cause_factor_6m,cause_factor_6s,cause_factor_7p,cause_factor_7m,cause_factor_7s,cause_factor_8p,cause_factor_8m,cause_factor_8s,cause_factor_9p,cause_factor_9m,cause_factor_9s,cause_factor_10p,cause_factor_10m,cause_factor_10s,injury_index,pilot_fatal,pilot_serious,pilot_minor,pilot_none,pilot_unknown,pilot_totals,co_pilot_fatal,co_pilot_serious,co_pilot_minor,co_pilot_none,co_pilot_unknown,co_pilot_totals,dual_student_fatal,dual_student_serious,dual_student_minor,dual_student_none,dual_student_unknown,dual_student_totals,hull_loss,chk_pilot_fatal,chk_pilot_serious,chk_pilot_minor,chk_pilot_none,chk_pilot_unknown,chk_pilot_totals,flt_engn_fatal,flt_engn_serious,flt_engn_minor,flt_engn_none,flt_engn_unknown,flt_engn_totals,navigtr_fatal,navigtr_serious,navigtr_minor,navigtr_none,navigtr_unknown,navigtr_totals,cabin_attn_fatal,cabin_attn_serious,cabin_attn_minor,cabin_attn_none,cabin_attn_unknown,cabin_attn_totals,extra_crew_fatal,extra_crew_serious,extra_crew_minor,extra_crew_none,extra_crew_unknown,extra_crew_totals,passengers_fatal,passengers_serious,passengers_minor,passengers_none,passengers_unknown,passengers_totals,total_abrd_fatal,total_abrd_serious,total_abrd_minor,total_abrd_none,total_abrd_unknown,total_abrd_totals,other_airc_fatal,other_airc_serious,other_airc_minor,other_airc_none,other_airc_unknown,other_airc_totals,other_grnd_fatal,other_grnd_serious,other_grnd_minor,other_grnd_none,other_grnd_unknown,other_xxxx_totals,bi_fligt_rev,recency_expr,comm_plt_prof,runway_used,grand_total_fatal,grand_total_serious,grand_total_minor,grand_total_none,grand_total_unknown,grand_total_totals,faa_persnl_fatal,_source_file,_ingested_at
532,1965-09-03 00:00:00,2 0281,N7752P,1964-04-04 00:00:00,,ALEXANDRIA LA,PIPER,PA24,,1716,A,18,124,25,12,09,A,A,A,1,A,D,,,D,B2,,,Q,C1,,,,,,,,,,,,B,A,,,A,,,G,G,L0100,A,ESLER FIELD,,A,,,,,,05200,,,,,C,,,A,,004300,,000300,,411,,C3,,A1,,Y8,,C3,,Y8,,A,64,A,16,64,J,11,64,J,24,88,J,76,,,,,,,,,,,,,,,,,,,C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
533,1968-10-03 00:00:00,2 0282,N9833X,1964-04-05 00:00:00,,MONTAUK N Y,CESSNA,185,,1530,A,32,039,26,20,28,A,B,A,1,A,M,,,D,B0,,,W,B2,,,,,,,,,,,,B,A,,,A,,,Z,,,,,,,,,,,,,,,,,K,,,A,,003100,,003000,,377,,C3,,C3,,Y8,,A1,,Y8,,A,84,A,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,1,0,2,0,PRE1982.MDB,2026-04-14 02:19:16.142676
534,1965-09-03 00:00:00,2 0283,N2185C,1964-04-07 00:00:00,,YORK S C,CESSNA,195,,0542,A,40,039,18,29,,A,A,A,1,A,D,,,D,B2,,,N0,C1,,,,,,,,,,,,A,B,P,Z,C,,Y,F,A,Z,F,YORK,Z,C,A,F,,,,03000,,,,Z,D,,,A,,070000,,020000,,455,,C3,,E5,,Y8,,B2,,D4,,A,64,A,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
535,1964-12-07 00:00:00,2 0284,N83867,1964-04-08 00:00:00,,AMES OKLA,AERONCA,7AC,,1800,A,36,003,12,20,06,A,A,A,1,A,S,,,F,B0,,,Q,C1,,,,,,,,,,,,B,A,,,A,,,Z,,,,,,,,,,,,,,,,00800,D,,,A,,01080,,00060,,27,,E,,A,,Y,,F,,G,,A,64,A,16,64,J,24,,,,,,,,,,,,,,,,,,,,,,,,,C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
536,1965-06-23 00:00:00,2 0285,N375TM,1964-04-11 00:00:00,N,HILO HAWAII,LOCKHEED,PV2,,0200,A,91,088,02,39,26,A,A,B,2,A,D,Y,Z,D,DD,,,U,D1,4,EE,Z,,,,C,,,,,D,A,B,A,C,,Y,N,,,,,,,,,,,,,,,,,K,,,A,B,03000A,ZB,00080A,ZB,41A,ZB,CA,BB,MA,AB,YA,XB,BA,BB,A,B,A,88,C,96,74,A,CY,88,J,88,,,,,,,,,,,,,,,,,,,,,,M,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
537,1966-05-11 00:00:00,2 0286,N5367W,1964-04-15 00:00:00,,KREMMLING COLO,PIPER,PA28,,1900,A,06,124,28,12,06,A,A,A,1,A,D,,,D,B0,,,A,EE,Q,EJ,,,,,,,,,,C,A,Z,Z,A,,,A,,Z,F,MCELROY FIELD,07410,Y,,,,,,,,,,,,,,A,,006788,,000588,,555,,C3,,A1,,,,A1,,Y8,,A,82,A,H,64,A,33,64,J,21,,,,,,,,,,,,,,,,,,,,,,C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
538,1965-09-03 00:00:00,2 0287,N44515,1964-04-18 00:00:00,,CRESTVIEW FLA,CULVER,V,,0945,A,09,154,05,20,11,A,A,A,1,A,D,Y,,D,B0,,,Q,C1,,,,,,,,,,,,B,A,,,B,,,E,J,Z,F,CRESTVIEW,00274,C,,,,,,03300,,,,,,,,A,,030000,,Z9,,344,,B2,,P7,,,,C3,,I9,,A,64,A,16,64,J,80,,,,,,,,,,,,,,,,,,,,,,,,,C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
539,1966-05-07 00:00:00,2 0288,N904Q,1964-04-23 00:00:00,,EL DORADO KAN,BEECHCRAFT,35B33,,1430,A,16,022,20,20,28,A,A,A,1,A,D,,,K,DB,,,Q,D7,M1,D9,,,,,,,,,B,B,A,,,A,,,N,,,,,,,,,,,,,,,,1500,D,,,A,,122700,,002000,,522,,E5,,S2,,Y8,,F6,,G7,,A,84,A,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
540,1966-02-19 00:00:00,2 0289,N7214W,1964-04-23 00:00:00,,CRYSTAL CITY TEX,PIPER,PA28,,1800,A,43,124,28,12,09,A,A,A,1,A,D,,,D,B0,,,K,EB,Q,EB,,,,,,,,,,B,A,,,A,,,E,,R0100,A,CRYSTAL CITY,00610,Z,,,,,C,03500,,,,00590,,,,A,,030000,,001000,,455,,E5,,M4,,Y8,,C3,,Y8,,A,64,C,16,64,J,45,88,1,AW,,,,,,,,,,,,,,,,,,,,,,C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
541,1966-02-19 00:00:00,2 0290,N1879B,1964-04-25 00:00:00,,CALISTOGA CALIF,LUSCOMBE,8F,,1545,A,05,089,03,20,12,A,A,A,1,A,D,,,D,B0,,,K,EB,N0,EB,,,,,,,,,,B,A,,,A,,,E,,R0165,A,CALISTOGA,00365,A,,,,,,,,,,,,,,A,,011000,,008000,,444,,C3,,A1,,Y8,,B2,,Y8,,A,64,A,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
