ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude,_source_file,_ingested_at
20001213X25852,ANC88LA152,ACC,1988-06-11 00:00:00,Sa,0,,COLDFOOT,AK,USA,99701,1988,6,,,644833N,1474312W,MEAS,,,OFAP,0.0,,,,,,0,,,0,,DAYL,UNK,0,0,UNK,,,,0,0,0,U,,F,F,0,0.0,,,,FATL,0,0,0,1,0,0,0,1,N,,,,,,2021-09-20 13:49:08,,Unk,,64.809303,-147.720123,Pre2008.mdb,2026-04-14 02:18:25.664087
20001211X15972,ANC93FA012,ACC,1992-11-06 00:00:00,Fr,2020,UTC,MONTAGUE ISLAND,AK,USA,99574,1992,11,,,604723N,1453638W,MEAS,,,OFAP,0.0,,,,WIT,,0,,,0,,DAYL,,300,800,,,,1.0,39,0,20,U,28,F,F,38,0.0,,,,FATL,0,0,0,2,0,0,0,2,N,,,,,,2021-09-20 15:26:21,,IMC,,60.789829,-145.610626,Pre2008.mdb,2026-04-14 02:18:25.664087
20001211X15973,ANC93FA013,ACC,1992-11-08 00:00:00,Su,2220,UTC,KIANA,AK,USA,99749,1992,11,,,665846N,1602546W,MEAS,,,OFAP,0.0,0,,,PILO,,0,,,0,,DUSK,UNK,2000,2000,,,,4.0,19,0,0,U,,F,F,0,0.0,,,,FATL,0,0,0,3,0,0,0,3,N,,,,,,2021-12-15 19:14:26,,IMC,,66.979461,-160.429565,Pre2008.mdb,2026-04-14 02:18:25.664087
20001211X11897,ANC93FA045,ACC,1993-03-20 00:00:00,Sa,1900,UTC,RAINEY PASS,AK,USA,99627,1993,3,,,633635N,1544649W,MEAS,,,OFAP,0.0,,,,,,0,,,0,,DAYL,UNK,0,0,,,,,30,0,0,U,,F,F,0,0.0,,,,FATL,0,0,0,1,0,0,0,1,N,,,,,,2021-09-20 15:26:22,,IMC,,63.6096,-154.780288,Pre2008.mdb,2026-04-14 02:18:25.664087
20001211X12053,ANC93FA050,ACC,1993-04-03 00:00:00,Sa,1411,UTC,NOME,AK,USA,99762,1993,4,,,644233N,1643710W,MEAS,,,OFAP,0.0,0,0,,WIT,1407,90,OME,,5,UTC,DAYL,,0,500,BKN,,,0.25,28,27,70,U,13,F,T,0,29.0,,,,FATL,0,0,0,2,0,0,0,2,N,,,,,,2021-09-20 16:33:05,,IMC,,64.709281,-164.619445,Pre2008.mdb,2026-04-14 02:18:25.664087
20001211X12054,ANC93FA054,ACC,1993-04-24 00:00:00,Sa,130,UTC,KASHWITNA,AK,USA,99687,1993,4,,,,,,,,OFAP,0.0,,,,WFAC,2100,150,PAQ,248,25,UTC,DAYL,SCAT,18000,0,UNK,,,40.0,59,27,180,U,10,F,F,0,29.0,,,,FATL,0,0,0,2,0,0,0,2,N,,,,,,2021-09-20 15:26:22,,VMC,,,,Pre2008.mdb,2026-04-14 02:18:25.664087
20001211X12256,ANC93FA056,ACC,1993-05-02 00:00:00,Su,2050,UTC,COPPER HARBOR,AK,USA,99901,1993,5,,,553637N,1313446W,MEAS,,,OFAP,0.0,,,,WIT,,0,,,0,,DAYL,UNK,0,2000,OVC,,,10.0,39,0,20,U,20,F,T,0,0.0,,,,FATL,0,1,0,1,0,0,0,2,N,,,,,,2021-09-20 15:26:22,,VMC,,55.610378,-131.579406,Pre2008.mdb,2026-04-14 02:18:25.664087
20001211X12257,ANC93FA060,ACC,1993-05-06 00:00:00,Th,2330,UTC,HOLY CROSS,AK,USA,99602,1993,5,,,621051N,1595026W,MEAS,,,OFAP,0.0,0,,,PILO,,0,,,0,,DAYL,SCAT,10000,0,NONE,,,30.0,50,28,360,U,7,F,F,0,29.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-12-15 19:14:28,,VMC,,62.180942,-159.840515,Pre2008.mdb,2026-04-14 02:18:25.664087
20001211X12258,ANC93FA061,ACC,1993-05-08 00:00:00,Sa,1730,UTC,THORNE BAY,AK,USA,99903,1993,5,,,554049N,1321127W,MEAS,,,OFAP,0.0,,,,,,0,,,0,,DAYL,SCAT,4000,0,NONE,,,20.0,39,0,20,U,8,F,F,0,0.0,,,,MINR,0,0,0,0,2,0,0,2,N,,,,,,2021-09-20 15:26:23,,VMC,,55.68024,-132.190841,Pre2008.mdb,2026-04-14 02:18:25.664087
20001211X12259,ANC93FA064,ACC,1993-05-17 00:00:00,Mo,2215,UTC,MALINA BAY,AK,USA,99615,1993,5,,,574724N,0152241W,MEAS,,,OFAP,0.0,,,,PILO,,0,,,0,,DAYL,CLER,0,0,NONE,,,30.0,70,0,200,U,,F,T,0,29.0,,,,SERS,0,0,0,0,2,0,2,4,N,,,,,,2021-09-20 15:26:23,,VMC,,57.789897,-152.400405,Pre2008.mdb,2026-04-14 02:18:25.664087
