manufacturer,model_family,model_full,aircraft_category,operation_types,typical_engines,typical_seats,total_incidents,total_accidents,total_incidents_only,years_with_incidents,first_incident_date,last_incident_date,avg_incidents_per_year,data_eras,incidents_pre1982,incidents_pre2008,incidents_avall,fatal_event_count,serious_event_count,total_fatalities,total_serious_injuries,destroyed_count,fatality_rate_pct,destruction_rate_pct,avg_injury_score,avg_damage_score,weighted_severity_score,recent_severity,historical_severity,severity_trend,severity_slope,top_failure_1,top_failure_1_count,top_failure_2,top_failure_2_count,top_failure_3,top_failure_3_count,pct_engine_failure,pct_weather_related,pct_human_factor,pct_fire_related,pct_structural_failure,pct_maintenance_related,causal_finding_categories,aircraft_causes,personnel_causes,environmental_causes,n_distinct_clusters,avg_anomaly_score,high_anomaly_count,pct_nlp_categorized,dominant_cluster_id,pct_imc_conditions,risk_quartile,risk_tier,risk_rank,data_as_of,data_note
AERO COMMANDER,680F,AERO COMMANDER 680F,AIR,135,2,2,10,10,0,9,1972-10-20,1998-06-17,1.1,"pre1982, pre2008",3,7,0,6,0,7,0,7,60.00,70.00,2.80,3.70,3.16,,3.16,INSUFFICIENT_DATA,0.1059,landing_gear,1,,,,,0.0,100.0,0.0,100.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations",0,0,0,6,0.2769,1,10.0,7,10.00,1,CRITICAL,1,2026-04-14,Based on 10 incidents (1972-1998)
EUROCOPTER,AS350B,EUROCOPTER AS350B,HELI,135,1,7,22,21,1,16,1981-11-02,2014-06-29,1.4,"avall, pre1982, pre2008",1,18,3,8,3,25,9,6,36.36,27.27,2.45,3.23,2.76,,2.76,INSUFFICIENT_DATA,0.0284,weather,3,human_factors,3,engine_failure,2,100.0,100.0,100.0,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations, Underlying",4,4,1,10,0.3562,0,54.5,45,4.55,1,CRITICAL,3,2026-04-14,Based on 22 incidents (1981-2014)
BEECHCRAFT,C99,BEECHCRAFT C99,AIR,135,2,15,10,8,2,7,1983-10-06,2024-10-08,1.4,"avall, pre2008",0,7,3,4,2,19,7,3,40.00,30.00,2.60,3.00,2.76,2.93,2.69,WORSENING,0.0228,landing_gear,4,weather,1,,,0.0,100.0,100.0,25.0,25.0,0.0,"Aircraft, Aircraft/Environment, Personnel, Personnel/Operations, Underlying",1,2,0,9,0.3436,0,50.0,29,20.00,1,CRITICAL,2,2026-04-14,Based on 10 incidents (1983-2024)
EUROCOPTER,350B,EUROCOPTER 350B,HELI,135,1,7,12,11,1,8,1992-09-16,2006-07-27,1.5,pre2008,0,12,0,4,2,20,5,5,33.33,41.67,2.33,3.33,2.73,,2.73,INSUFFICIENT_DATA,-0.1706,weather,4,engine_failure,3,fuel_related,1,100.0,100.0,100.0,0.0,0.0,0.0,"Aircraft/Environment, Personnel/Operations, Underlying",0,0,0,4,0.2862,0,75.0,45,16.67,1,CRITICAL,4,2026-04-14,Based on 12 incidents (1992-2006)
EUROCOPTER,350D,EUROCOPTER 350D,HELI,135,1,6,12,9,3,8,1982-07-19,1994-10-24,1.5,pre2008,0,12,0,4,1,11,2,6,33.33,50.00,2.33,3.25,2.70,,2.70,INSUFFICIENT_DATA,0.0388,engine_failure,3,fire,1,human_factors,1,100.0,0.0,100.0,100.0,0.0,0.0,"Aircraft/Environment, Personnel/Operations",0,0,0,4,0.1892,0,41.7,7,0.00,1,CRITICAL,5,2026-04-14,Based on 12 incidents (1982-1994)
CESSNA,T210,CESSNA T210,AIR,135,1,4,66,65,1,35,1972-02-01,2023-08-05,1.9,"avall, pre1982, pre2008",12,47,7,16,6,27,11,27,24.24,40.91,2.08,3.36,2.59,1.80,2.63,IMPROVING,-0.0066,engine_failure,15,landing_gear,10,weather,6,100.0,100.0,26.7,30.0,0.0,6.7,"Aircraft, Aircraft/Environment, Legacy, Personnel, Personnel/Operations, Underlying",6,5,0,17,0.3125,1,56.1,7,19.70,1,CRITICAL,7,2026-04-14,Based on 66 incidents (1972-2023)
BELL,407,BELL 407,HELI,135,1,7,56,46,10,21,1997-09-18,2026-02-05,2.7,"avall, pre2008",0,19,37,22,3,69,13,17,39.29,30.36,2.36,2.95,2.59,2.83,2.45,WORSENING,-0.0093,engine_failure,14,landing_gear,7,human_factors,7,100.0,57.1,100.0,0.0,28.6,0.0,"Aircraft, Aircraft/Environment, Environmental, Not determined, Organizational, Personnel, Personnel/Operations",23,17,11,7,0.2977,0,66.1,24,7.14,1,CRITICAL,6,2026-04-14,Based on 56 incidents (1997-2026)
EUROCOPTER,350,EUROCOPTER 350,HELI,135,1,7,39,37,2,22,1979-12-26,2022-04-17,1.8,"avall, pre1982, pre2008",4,19,16,11,3,39,12,8,28.21,20.51,2.21,3.15,2.58,2.85,2.55,WORSENING,0.0185,weather,8,engine_failure,6,landing_gear,3,100.0,100.0,66.7,16.7,0.0,12.5,"Aircraft, Aircraft/Environment, Environmental, Legacy, Not determined, Personnel, Personnel/Operations, Underlying",10,13,12,13,0.3717,1,53.8,45,12.82,1,CRITICAL,9,2026-04-14,Based on 39 incidents (1979-2022)
MITSUBISHI,2B,MITSUBISHI 2B,AIR,135,2,3,29,25,4,19,1970-01-05,2010-02-04,1.5,"avall, pre1982, pre2008",4,24,1,12,0,18,1,10,41.38,34.48,2.28,3.03,2.58,,2.58,INSUFFICIENT_DATA,0.0064,landing_gear,8,engine_failure,5,weather,1,100.0,100.0,80.0,40.0,40.0,0.0,"Aircraft, Aircraft/Environment, Legacy, Personnel/Operations",1,0,0,12,0.3200,0,55.2,7,27.59,1,CRITICAL,8,2026-04-14,Based on 29 incidents (1970-2010)
CESSNA,414,CESSNA 414,AIR,135,2,7,15,14,1,13,1975-05-29,2011-03-23,1.2,"avall, pre1982, pre2008",5,9,1,3,2,5,9,6,20.00,40.00,2.07,3.33,2.57,,2.57,INSUFFICIENT_DATA,0.0177,landing_gear,1,engine_failure,1,weather,1,100.0,100.0,100.0,100.0,0.0,0.0,"Aircraft, Aircraft/Environment, Legacy, Personnel, Personnel/Operations, Underlying",1,1,0,8,0.2907,0,20.0,7,20.00,1,CRITICAL,10,2026-04-14,Based on 15 incidents (1975-2011)
