ev_id,aircraft_key,regis_no,far_part,damage,make_raw,model_raw,acft_series,manufacturer,model_family,model_full,acft_category,num_eng,total_seats,cert_max_gr_wt,acft_year,oper_name,oper_sched,oper_pax_cargo,type_fly,afm_hrs,second_pilot,damage_score,source_era
20080116X00063,1,N509FN,135,SUBS,PIPER,PA-31-350,,PIPER,PA-31,PIPER PA-31,AIR,2,10,7368,,"Servant Air, Inc.",NSCH,PAX,,13130.0,N,3,avall
20080118X00073,1,N705SK,121,SUBS,"Bombardier, Inc.",CL-600-2C10,,BOMBARDIER,CL-600,BOMBARDIER CL-600,AIR,2,70,75250,,,SCHD,PAX,,10507.0,Y,3,avall
20080118X00073,2,N508UA,121,SUBS,BOEING,757-222,,BOEING,757,BOEING 757,AIR,2,192,240000,,,SCHD,PAX,,59365.0,N,3,avall
20080129X00119,1,N712AT,135,SUBS,AERO COMMANDER,500B,,AERO COMMANDER,500B,AERO COMMANDER 500B,AIR,2,2,6750,,Central Air Southwest,NSCH,CARG,,17888.0,N,3,avall
20080117X00067,1,N410UB,135,DEST,Hawker Beechcraft Corporation,1900C,,BEECHCRAFT,1900C,BEECHCRAFT 1900C,AIR,2,2,16600,,,NSCH,MAIL,,19123.9,N,4,avall
20080118X00074,1,N454SF,135,SUBS,Cessna,208B,,CESSNA,208,CESSNA 208,AIR,1,5,8550,,,NSCH,PAX,,8612.0,N,3,avall
20080122X00088,1,N733TW,121,,Boeing,737-2H4,,BOEING,737,BOEING 737,AIR,2,63,116000,,"Ameristar Air Cargo, Inc.",NSCH,PAX,,71959.0,Y,0,avall
20080411X00456,1,N41NE,121,,Fairchild,SA227-AC,,FAIRCHILD,SA227,FAIRCHILD SA227,AIR,2,19,16000,,,NSCH,CARG,,36207.0,Y,0,avall
20080125X00103,1,N349NB,121,SUBS,Airbus Industrie,A319-114,,AIRBUS,A319,AIRBUS A319,AIR,2,132,155200,,,SCHD,PAX,,15029.0,Y,3,avall
20080514X00667,1,N462UA,121,,Airbus,A320,232,AIRBUS,A320,AIRBUS A320,AIR,2,,169756,2000,United Airlines Inc,SCHD,PAX,,27021.0,Y,0,avall
20080305X00268,1,N55F,135,SUBS,"Bombardier, Inc.",35A,,BOMBARDIER,35A,BOMBARDIER 35A,AIR,2,4,18300,,,NSCH,CARG,,26320.0,Y,3,avall
20080212X00178,1,N624AA,121,MINR,Boeing,B757-200,,BOEING,757,BOEING 757,AIR,,188,250000,,AMERICAN AIRLINES COMMERCIAL FLIGHT OPERATIONS,SCHD,PAX,,,Y,2,avall
20080213X00181,1,N698DM,135,SUBS,MCDONNELL DOUGLAS,369E,,MCDONNELL DOUGLAS,369E,MCDONNELL DOUGLAS 369E,HELI,1,5,3000,,Tropical Helicopters,NSCH,PAX,,9118.0,N,3,avall
20080222X00229,1,N651BR,121,,"Bombardier, Inc.",CL-600,2B19,BOMBARDIER,CL-600,BOMBARDIER CL-600,AIR,2,54,,,Mesa Airlines,SCHD,PAX,,16431.0,Y,0,avall
20080220X00214,1,N444YV,121,,de Havilland,DHC-8-202,,DEHAVILLAND,8,DEHAVILLAND 8,AIR,2,40,36500,,"Mesa Airlines, Inc.",SCHD,PAX,,,Y,0,avall
20080222X00231,1,N67726,135,SUBS,Cessna,425,,CESSNA,425,CESSNA 425,AIR,2,7,8675,,FLIGHT CONCEPTS INC,NSCH,PAX,,4707.0,N,3,avall
20080304X00260,1,N569RP,121,,Embraer,EMB-145LR,,EMBRAER,EMB-145,EMBRAER EMB-145,AIR,2,53,48501,,,SCHD,PAX,,9943.0,Y,0,avall
20080228X00243,1,N935DL,121,MINR,McDonnell Douglas,MD-88,,MCDONNELL DOUGLAS,MD-88,MCDONNELL DOUGLAS MD-88,AIR,2,149,118000,,,SCHD,PAX,,51051.0,Y,2,avall
