ev_id,ev_type,ev_date,event_year,event_month,ev_city,ev_state,ev_country,ev_highest_injury,light_cond,wx_cond_basic,vis_sm,wind_vel_kts,fatalities,serious_injuries,minor_injuries,uninjured,dec_latitude,dec_longitude,injury_score,weather_category,source_era
20080211X00175,ACC,2008-01-10 00:00:00,2008,1,Pitt Meadows,,CA,NONE,,,,,0,0,0,2,49.216634,-122.68387,1,UNKNOWN,avall
20080107X00026,ACC,2008-01-01 00:00:00,2008,1,Sonoma,CA,USA,NONE,DAYL,VMC,10.0,10,0,0,0,3,38.223888,-122.449722,1,VMC,avall
20080109X00036,ACC,2008-01-01 00:00:00,2008,1,Arcola,TX,USA,NONE,DAYL,VMC,10.0,15,0,0,0,1,29.506111,-95.476669,1,VMC,avall
20080107X00027,ACC,2008-01-03 00:00:00,2008,1,Oklahoma City,OK,USA,FATL,NITE,VMC,10.0,16,0,0,0,8,35.533611,-97.641387,4,VMC,avall
20080115X00051,ACC,2008-01-02 00:00:00,2008,1,Loveland,CO,USA,NONE,DAYL,VMC,10.0,5,0,0,0,1,40.451667,-105.001113,1,VMC,avall
20080115X00047,ACC,2008-01-05 00:00:00,2008,1,Spotsylvania,VA,USA,MINR,DAYL,VMC,10.0,5,0,0,1,0,38.20222,-77.587501,2,VMC,avall
20080123X00096,ACC,2008-01-05 00:00:00,2008,1,Laurel,MD,USA,MINR,DAYL,VMC,10.0,4,0,0,1,0,39.076667,-76.827774,2,VMC,avall
20080116X00063,ACC,2008-01-05 00:00:00,2008,1,Kodiak,AK,USA,FATL,DAYL,VMC,10.0,17,6,3,1,0,57.750556,-152.468612,4,VMC,avall
20080114X00044,ACC,2008-01-06 00:00:00,2008,1,Miami,FL,USA,NONE,DAYL,VMC,10.0,13,0,0,0,2,25.623888,-80.57389,1,VMC,avall
20080122X00087,ACC,2008-01-07 00:00:00,2008,1,DeLand,FL,USA,NONE,DAYL,VMC,10.0,4,0,0,0,2,28.984443,-81.299446,1,VMC,avall
20080220X00212,ACC,2008-01-07 00:00:00,2008,1,Exeter,CA,USA,NONE,DAYL,VMC,10.0,8,0,0,0,2,36.238609,-119.143058,1,VMC,avall
20080210X00166,ACC,2008-01-02 00:00:00,2008,1,Brunswick,GA,USA,NONE,DAYL,VMC,9.0,11,0,0,0,3,31.151666,-81.391113,1,VMC,avall
20080210X00162,ACC,2008-01-08 00:00:00,2008,1,North Palm Bch,FL,USA,SERS,DAYL,VMC,10.0,9,0,1,0,0,26.831666,-80.03833,3,VMC,avall
20080312X00299,ACC,2008-01-06 00:00:00,2008,1,Ellsworth,ME,USA,NONE,DAYL,VMC,10.0,3,0,0,0,2,44.635276,-68.632499,1,VMC,avall
20080111X00038,INC,2008-01-03 00:00:00,2008,1,Deauville Saint,,FR,,,,,,0,0,0,0,48.363334,0.156111,0,UNKNOWN,avall
20080111X00039,INC,2008-01-07 00:00:00,2008,1,Bangkok,,TH,NONE,,,,,0,0,0,334,,,1,UNKNOWN,avall
20080117X00068,ACC,2008-01-10 00:00:00,2008,1,Perris,CA,USA,FATL,DAYL,VMC,10.0,,1,0,0,0,33.884723,-117.25222,4,VMC,avall
20080122X00081,INC,2008-01-10 00:00:00,2008,1,Penicton,,CA,MINR,,,,,0,0,11,77,48.849998,-119.383331,2,UNKNOWN,avall
20080219X00203,ACC,2008-01-10 00:00:00,2008,1,Sarasota,FL,USA,NONE,DUSK,VMC,10.0,,0,0,0,2,27.259721,-82.287498,1,VMC,avall
20080123X00090,ACC,2008-01-12 00:00:00,2008,1,Clearwater,FL,USA,FATL,DAYL,VMC,10.0,11,3,0,0,0,27.913055,-82.67472,4,VMC,avall
20080304X00261,ACC,2008-01-12 00:00:00,2008,1,Lapine,AL,USA,NONE,DAYL,VMC,10.0,,0,0,0,1,31.971389,-86.289718,1,VMC,avall
20080207X00153,ACC,2008-01-13 00:00:00,2008,1,La Verna,CA,USA,NONE,DAYL,VMC,30.0,,0,0,0,2,35.091388,-117.781669,1,VMC,avall
20080213X00179,ACC,2008-01-14 00:00:00,2008,1,Santa Monica,CA,USA,NONE,DUSK,VMC,10.0,,0,0,0,3,34.015834,-118.45111,1,VMC,avall
20080116X00062,ACC,2008-01-12 00:00:00,2008,1,Port Clinton,OH,USA,FATL,DAYL,VMC,10.0,4,4,0,0,0,41.527221,-82.870002,4,VMC,avall
20080118X00073,ACC,2008-01-14 00:00:00,2008,1,San Francisco,CA,USA,NONE,NITE,VMC,10.0,,0,0,0,61,37.618888,-122.374725,1,VMC,avall
20080509X00642,INC,2008-03-21 00:00:00,2008,3,Limoges,,FR,,,,,,0,0,0,0,,,0,UNKNOWN,avall
20080219X00204,ACC,2008-01-11 00:00:00,2008,1,Labelle,FL,USA,NONE,DAYL,VMC,10.0,10,0,0,0,1,26.778888,-81.43222,1,VMC,avall
20080117X00069,ACC,2008-01-13 00:00:00,2008,1,Centerville,WA,USA,MINR,DAYL,VMC,10.0,,0,0,1,1,45.716388,-120.984443,2,VMC,avall
20080115X00046,ACC,2008-01-03 00:00:00,2008,1,Stevensville,MD,USA,NONE,DAYL,VMC,10.0,11,0,0,0,1,38.972499,-76.324447,1,VMC,avall
