ev_id,aircraft_key,failure_categories,primary_category,n_categories,text_severity_score,has_engine_failure,has_weather_factor,has_human_factors,has_fire,has_structural,has_maintenance,narrative_length
20001211X15972,1,['weather'],weather,1,5,False,True,False,False,False,False,23414
20001211X15973,1,['weather'],weather,1,5,False,True,False,False,False,False,17286
20001211X12053,1,"['landing_gear', 'weather']",landing_gear,2,5,False,True,False,False,False,False,23702
20001211X12497,1,['engine_failure'],engine_failure,1,1,True,False,False,False,False,False,3563
20001211X12259,1,['human_factors'],human_factors,1,1,False,False,True,False,False,False,5425
20001211X12737,1,"['engine_failure', 'landing_gear', 'fuel_related']",engine_failure,3,4,True,False,False,False,False,False,14487
20001211X13021,1,"['engine_failure', 'fuel_related']",engine_failure,2,4,True,False,False,False,False,False,11650
20001211X13280,1,[],,0,3,False,False,False,False,False,False,6212
20001211X12739,1,['maintenance'],maintenance,1,2,False,False,False,False,False,True,1143
20001211X13284,1,"['engine_failure', 'bird_strike']",engine_failure,2,4,True,False,False,False,False,False,2612
20001211X12056,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,3779
20001211X12264,1,[],,0,2,False,False,False,False,False,False,2693
20001211X12752,1,['engine_failure'],engine_failure,1,3,True,False,False,False,False,False,3724
20001211X12269,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,1329
20001211X12753,1,[],,0,1,False,False,False,False,False,False,2158
20001211X12498,1,"['engine_failure', 'human_factors']",engine_failure,2,4,True,False,True,False,False,False,4517
20001211X12276,1,[],,0,3,False,False,False,False,False,False,1886
20001211X12505,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,1334
20001211X12510,1,['weather'],weather,1,2,False,True,False,False,False,False,2964
20001211X12512,1,[],,0,3,False,False,False,False,False,False,1000
20001211X12519,1,[],,0,1,False,False,False,False,False,False,2891
20001211X12749,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,5472
20001211X13023,1,[],,0,2,False,False,False,False,False,False,1019
20001211X13031,1,[],,0,1,False,False,False,False,False,False,7390
20001211X13033,1,[],,0,2,False,False,False,False,False,False,1894
20001211X13039,1,[],,0,2,False,False,False,False,False,False,3659
20001211X13044,1,[],,0,3,False,False,False,False,False,False,1445
20001206X01899,1,['fire'],fire,1,5,False,False,False,True,False,False,7771
20001211X13296,1,['landing_gear'],landing_gear,1,1,False,False,False,False,False,False,1554
20001211X13499,1,['fuel_related'],fuel_related,1,5,False,False,False,False,False,False,25800
20001206X01412,1,"['weather', 'fire']",weather,2,5,False,True,False,True,False,False,18355
20001206X01633,1,"['landing_gear', 'fuel_related', 'hydraulic', 'human_factors']",landing_gear,4,5,False,False,True,False,False,False,16615
20001206X01634,1,['landing_gear'],landing_gear,1,4,False,False,False,False,False,False,7803
20001206X01635,1,[],,0,3,False,False,False,False,False,False,3519
20001206X01897,1,"['weather', 'structural', 'fire']",weather,3,5,False,True,False,True,True,False,13046
20001206X01900,1,"['landing_gear', 'weather', 'fire', 'human_factors']",landing_gear,4,5,False,True,True,True,False,False,12106
20001211X13673,1,['landing_gear'],landing_gear,1,2,False,False,False,False,False,False,3155
20001206X00828,1,['engine_failure'],engine_failure,1,3,True,False,False,False,False,False,1620
20001206X01636,1,[],,0,1,False,False,False,False,False,False,1684
20001207X03836,1,[],,0,3,False,False,False,False,False,False,2223
20001214X35619,1,[],,0,1,False,False,False,False,False,False,0
20001211X13675,1,[],,0,3,False,False,False,False,False,False,784
20001211X13809,1,[],,0,3,False,False,False,False,False,False,1779
20001214X35807,1,[],,0,1,False,False,False,False,False,False,0
20001211X13814,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,2156
20001206X00690,1,[],,0,3,False,False,False,False,False,False,2194
20001206X00832,1,[],,0,4,False,False,False,False,False,False,1995
20001206X01017,1,['engine_failure'],engine_failure,1,4,True,False,False,False,False,False,3245
20001206X01018,1,"['engine_failure', 'fuel_related']",engine_failure,2,4,True,False,False,False,False,False,1940
20001206X01903,1,[],,0,3,False,False,False,False,False,False,2142
20001206X01192,1,['landing_gear'],landing_gear,1,1,False,False,False,False,False,False,1189
20001206X01418,1,[],,0,1,False,False,False,False,False,False,1441
20001206X01639,1,"['engine_failure', 'human_factors']",engine_failure,2,4,True,False,True,False,False,False,4578
20001206X01640,1,[],,0,3,False,False,False,False,False,False,1298
20001206X01643,1,['landing_gear'],landing_gear,1,1,False,False,False,False,False,False,1698
20001206X01646,1,['engine_failure'],engine_failure,1,3,True,False,False,False,False,False,3405
20001206X01651,1,[],,0,3,False,False,False,False,False,False,4020
20001206X01907,1,[],,0,3,False,False,False,False,False,False,1601
20001206X01909,1,[],,0,1,False,False,False,False,False,False,1292
20001206X02160,1,[],,0,1,False,False,False,False,False,False,1794
20001206X01913,1,[],,0,3,False,False,False,False,False,False,1314
20001206X01926,1,['weather'],weather,1,1,False,True,False,False,False,False,5653
20001206X02167,1,[],,0,3,False,False,False,False,False,False,1195
20001206X02171,1,[],,0,1,False,False,False,False,False,False,1624
20001206X02536,1,"['landing_gear', 'weather']",landing_gear,2,3,False,True,False,False,False,False,18467
20001206X02666,1,"['landing_gear', 'weather']",landing_gear,2,5,False,True,False,False,False,False,18756
20001206X02667,1,['weather'],weather,1,1,False,True,False,False,False,False,6267
20001207X03576,1,"['landing_gear', 'weather']",landing_gear,2,5,False,True,False,False,False,False,10907
20001207X03828,1,"['landing_gear', 'weather', 'fire']",landing_gear,3,5,False,True,False,True,False,False,19390
20001207X04116,1,"['landing_gear', 'weather']",landing_gear,2,5,False,True,False,False,False,False,6765
20001206X02668,1,['weather'],weather,1,5,False,True,False,False,False,False,5234
20001208X06670,1,[],,0,1,False,False,False,False,False,False,1684
20001207X04119,1,['human_factors'],human_factors,1,2,False,False,True,False,False,False,2030
20001207X04398,1,['human_factors'],human_factors,1,1,False,False,True,False,False,False,1765
20001206X02369,1,[],,0,1,False,False,False,False,False,False,1285
20001206X02538,1,[],,0,3,False,False,False,False,False,False,1775
20001206X02540,1,[],,0,1,False,False,False,False,False,False,2633
20001206X02541,1,[],,0,3,False,False,False,False,False,False,1946
20001206X02671,1,"['fire', 'human_factors']",fire,2,4,False,False,True,True,False,False,3474
20001207X03053,1,"['landing_gear', 'weather']",landing_gear,2,3,False,True,False,False,False,False,2734
20001206X02673,1,"['landing_gear', 'weather']",landing_gear,2,3,False,True,False,False,False,False,2072
20001207X02806,1,[],,0,3,False,False,False,False,False,False,1373
20001207X02811,1,['engine_failure'],engine_failure,1,3,True,False,False,False,False,False,2095
20001207X04122,1,['fuel_related'],fuel_related,1,3,False,False,False,False,False,False,4676
20001207X02920,1,[],,0,3,False,False,False,False,False,False,1810
20001207X03051,1,['weather'],weather,1,4,False,True,False,False,False,False,5505
20001207X03056,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,3135
20001207X03057,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,1578
20001207X03394,1,"['landing_gear', 'human_factors']",landing_gear,2,3,False,False,True,False,False,False,2663
20001207X03598,1,"['landing_gear', 'weather']",landing_gear,2,1,False,True,False,False,False,False,1870
20001207X03399,1,"['landing_gear', 'human_factors']",landing_gear,2,3,False,False,True,False,False,False,5163
20001207X03400,1,['weather'],weather,1,3,False,True,False,False,False,False,1391
20001207X03403,1,[],,0,3,False,False,False,False,False,False,1297
20001207X03590,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,2080
20001207X03592,1,[],,0,3,False,False,False,False,False,False,1341
20001207X03839,1,['fuel_related'],fuel_related,1,3,False,False,False,False,False,False,2387
20001207X03851,1,"['landing_gear', 'human_factors']",landing_gear,2,3,False,False,True,False,False,False,1446
20001207X04135,1,['fire'],fire,1,3,False,False,False,True,False,False,2517
20001207X04404,1,[],,0,3,False,False,False,False,False,False,1167
20001207X04412,1,[],,0,3,False,False,False,False,False,False,1726
20001208X05677,1,"['landing_gear', 'weather']",landing_gear,2,4,False,True,False,False,False,False,19960
20001208X05678,1,['human_factors'],human_factors,1,4,False,False,True,False,False,False,4270
20001213X34360,1,[],,0,1,False,False,False,False,False,False,0
20001208X06131,1,"['fuel_related', 'weather', 'fire']",fuel_related,3,5,False,True,False,True,False,False,10905
20001208X06132,1,"['landing_gear', 'fuel_related', 'fire', 'human_factors']",landing_gear,4,5,False,False,True,True,False,False,21699
20001208X06644,1,"['landing_gear', 'weather']",landing_gear,2,3,False,True,False,False,False,False,11125
20001207X04796,1,"['landing_gear', 'weather', 'human_factors']",landing_gear,3,3,False,True,True,False,False,False,2005
20001208X06649,1,['engine_failure'],engine_failure,1,5,True,False,False,False,False,False,12801
20001208X06390,1,[],,0,5,False,False,False,False,False,False,3950
20001208X05336,1,[],,0,2,False,False,False,False,False,False,1794
20001208X05206,2,[],,0,1,False,False,False,False,False,False,214
20001207X04797,1,[],,0,3,False,False,False,False,False,False,1482
20001207X04935,1,[],,0,3,False,False,False,False,False,False,3397
20001207X04937,1,['fire'],fire,1,3,False,False,False,True,False,False,5920
20001214X40951,1,[],,0,1,False,False,False,False,False,False,0
20001207X04938,1,"['landing_gear', 'human_factors']",landing_gear,2,3,False,False,True,False,False,False,1975
20001208X05206,1,[],,0,3,False,False,False,False,False,False,3333
20001208X05337,1,"['landing_gear', 'weather']",landing_gear,2,3,False,True,False,False,False,False,3784
20001208X05340,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,1171
20001208X05343,1,[],,0,3,False,False,False,False,False,False,1348
20001208X05497,1,['weather'],weather,1,4,False,True,False,False,False,False,5246
20001208X05499,1,['weather'],weather,1,4,False,True,False,False,False,False,2488
20001213X34363,1,[],,0,1,False,False,False,False,False,False,0
20001208X05683,1,"['landing_gear', 'weather']",landing_gear,2,3,False,True,False,False,False,False,6418
20001208X06142,1,"['landing_gear', 'fuel_related', 'human_factors']",landing_gear,3,4,False,False,True,False,False,False,2830
20001208X05691,1,['bird_strike'],bird_strike,1,3,False,False,False,False,False,False,1498
20001208X05889,1,"['landing_gear', 'weather']",landing_gear,2,3,False,True,False,False,False,False,1801
20001208X05891,1,"['landing_gear', 'fire']",landing_gear,2,3,False,False,False,True,False,False,1519
20001214X35814,1,[],,0,1,False,False,False,False,False,False,0
20001208X06145,1,[],,0,3,False,False,False,False,False,False,4231
20001208X06135,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,3539
20001208X06391,1,['landing_gear'],landing_gear,1,2,False,False,False,False,False,False,3416
20001208X06391,2,[],,0,1,False,False,False,False,False,False,240
20001208X06394,1,[],,0,3,False,False,False,False,False,False,1057
20001208X06395,1,['landing_gear'],landing_gear,1,3,False,False,False,False,False,False,1503
20001208X06397,1,[],,0,3,False,False,False,False,False,False,1322
20001208X06651,1,[],,0,3,False,False,False,False,False,False,1527
20001214X37322,1,[],,0,1,False,False,False,False,False,False,0
20001208X06409,1,"['engine_failure', 'fuel_related', 'human_factors']",engine_failure,3,3,True,False,True,False,False,False,2662
20001208X06653,1,"['engine_failure', 'landing_gear', 'human_factors']",engine_failure,3,3,True,False,True,False,False,False,4848
20001208X06654,1,[],,0,5,False,False,False,False,False,False,1240
20001214X40160,1,[],,0,1,False,False,False,False,False,False,0
20001208X06664,1,['weather'],weather,1,4,False,True,False,False,False,False,4264
20001208X06825,1,"['weather', 'fire']",weather,2,5,False,True,False,True,False,False,10381
20001208X06989,1,"['landing_gear', 'fuel_related', 'structural']",landing_gear,3,5,False,False,False,False,True,False,23854
20001208X06990,1,['landing_gear'],landing_gear,1,5,False,False,False,False,False,False,3853
20001208X07249,1,"['landing_gear', 'weather', 'human_factors']",landing_gear,3,5,False,True,True,False,False,False,29169
20001208X07469,1,"['landing_gear', 'weather', 'human_factors']",landing_gear,3,2,False,True,True,False,False,False,3890
20001208X08037,1,"['landing_gear', 'weather']",landing_gear,2,5,False,True,False,False,False,False,28809
